group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,35.82,,47.37,62.50,62.50,100.00,3,1,0.3333,4,3,1,0,0.7500,0.2500,0.0000
com.github.lalyos,jfiglet,0.0.8,LLM,63.76,57.14,58.41,51.22,53.85,50.00,2,1,0.5000,12,9,1,2,0.7500,0.0833,0.1667
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75.00,87.50,80.00,87.50,66.67,2,2,1.0000,10,10,0,0,1.0000,0.0000,0.0000
commons-fileupload,commons-fileupload,1.4,LLM,26.87,21.86,22.35,17.87,21.34,30.77,23,10,0.4348,46,30,15,1,0.6522,0.3261,0.0217
commons-logging,commons-logging,1.2,LLM,14.53,7.92,16.18,13.88,26.60,25.93,13,6,0.4615,69,49,20,0,0.7101,0.2899,0.0000
commons-pool,commons-pool,1.6,LLM,6.02,4.95,7.02,5.20,9.06,15.22,16,6,0.3750,46,37,9,0,0.8043,0.1957,0.0000
io.grpc,grpc-protobuf,1.62.2,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,44.20,,70.83,80.95,80.95,81.82,10,9,0.9000,19,17,2,0,0.8947,0.1053,0.0000
commons-cli,commons-cli,1.2,LLM,0.00,0.00,0.00,0.00,0.00,0.00,19,13,0.6842,87,66,17,4,0.7586,0.1954,0.0460
org.apache.commons,commons-csv,1.8,LLM,0.00,0.00,0.00,0.00,0.00,0.00,9,3,0.3333,11,11,0,0,1.0000,0.0000,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
org.checkerframework,checker-qual,3.12.0,LLM,13.84,16.95,14.72,14.12,23.08,14.29,3,1,0.3333,6,3,3,0,0.5000,0.5000,0.0000
org.hjson,hjson,3.0.0,LLM,32.81,26.54,36.21,26.49,42.50,66.67,14,8,0.5714,59,45,9,5,0.7627,0.1525,0.0847
org.json,json,20250517,LLM,10.61,5.38,11.91,7.72,18.52,53.85,22,11,0.5000,64,41,15,8,0.6406,0.2344,0.1250
org.osgi,org.osgi.service.component,1.5.1,LLM,34.29,,38.46,30.00,30.00,16.67,2,1,0.5000,5,3,2,0,0.6000,0.4000,0.0000
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,29.54,,29.09,28.57,28.57,28.57,7,2,0.2857,5,5,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,0.00,,0.00,0.00,0.00,0.00,1,1,1.0000,2,0,2,0,0.0000,1.0000,0.0000
org.skyscreamer,jsonassert,2.0-rc1,LLM,17.24,16.67,16.56,16.97,20.00,37.50,15,5,0.3333,26,25,1,0,0.9615,0.0385,0.0000
org.slf4j,log4j-over-slf4j,2.0.16,LLM,22.54,6.09,20.38,16.88,22.70,58.33,24,8,0.3333,35,25,9,1,0.7143,0.2571,0.0286
io.prometheus,simpleclient,0.16.0,LLM,26.50,18.79,30.17,23.34,34.77,59.26,23,9,0.3913,61,38,7,16,0.6230,0.1148,0.2623
